make,model,year,mileage,hp,gear,fuel,price
Volkswagen,T-Roc,2019,37652,116,manual,gasoline,21440
Volkswagen,Golf,2019,0,150,automatic,Hybrid - gasoline,49762
Volkswagen,Touran,2018,76041,150,manual,gasoline,24980
Volkswagen,Tiguan,2021,7456,150,automatic,gasoline,35490
Volkswagen,T7 Multivan,2021,10,150,automatic,Hybrid - gasoline,73830
Volkswagen,Golf,2022,7759,131,manual,gasoline,27380
Volkswagen,Caddy,2019,32775,75,manual,diesel,18990
Volkswagen,Caddy,2021,8002,122,automatic,diesel,36890
Volkswagen,Golf,2020,22260,150,manual,gasoline,26990
Volkswagen,Golf,2020,0,131,automatic,Hybrid - gasoline,41160
Volkswagen,Caddy,2018,43242,150,automatic,diesel,34980
Volkswagen,Passat Variant,2019,75763,150,automatic,diesel,28240
Volkswagen,up,2019,20117,116,manual,gasoline,16990
Volkswagen,Golf,2019,0,245,automatic,gasoline,41252
Volkswagen,Golf Sportsvan,2019,68142,150,automatic,gasoline,22950
Volkswagen,Touran,2022,9800,150,automatic,diesel,38380
Volkswagen,Polo,2018,63457,65,manual,gasoline,12699
Volkswagen,Tiguan,2019,20106,150,manual,diesel,30990
Volkswagen,Polo,2021,11350,95,manual,gasoline,19760
Volkswagen,Tiguan,2021,0,190,automatic,gasoline,68715
Volkswagen,Polo,2017,27230,90,manual,gasoline,13950
Volkswagen,Tiguan,2021,49572,200,automatic,diesel,49900
Volkswagen,Polo,2020,4548,95,manual,gasoline,18130
Volkswagen,T-Cross,2021,6550,150,automatic,gasoline,27910
Volkswagen,Touran,2022,16691,150,automatic,diesel,36230
Volkswagen,Touareg,2019,96654,286,automatic,diesel,60990
Volkswagen,T-Roc,2019,20500,190,automatic,gasoline,28450
Volkswagen,Tiguan,2019,0,150,automatic,gasoline,40164
Volkswagen,Polo,2018,88955,95,automatic,gasoline,16990
Volkswagen,Passat Variant,2018,89986,150,automatic,diesel,24148
Volkswagen,T6 California,2018,0,204,automatic,diesel,102990
Volkswagen,Golf,2022,6586,150,automatic,diesel,32498
Volkswagen,Golf,2019,41169,245,manual,gasoline,26880
Volkswagen,Golf,2020,42850,116,manual,gasoline,19980
Volkswagen,T-Roc,2021,2578,116,manual,diesel,26999
Volkswagen,Tiguan,2020,20058,190,automatic,gasoline,38460
Volkswagen,Touran,2020,24509,150,automatic,diesel,31444
Volkswagen,Golf,2020,34012,110,manual,gasoline,23750
Volkswagen,T-Roc,2022,10,150,automatic,gasoline,29688
Volkswagen,T-Roc Cabriolet,2022,0,150,automatic,gasoline,46505
Volkswagen,Golf,2020,55474,150,automatic,diesel,21098
Volkswagen,Tiguan,2020,0,245,automatic,gasoline,64805
Volkswagen,Passat Variant,2018,139127,150,manual,diesel,21990
Volkswagen,Tiguan,2018,0,200,automatic,diesel,58980
Volkswagen,Golf Variant,2020,70837,150,automatic,diesel,23777
Volkswagen,T6,2020,0,150,automatic,diesel,55090
Volkswagen,T-Roc,2020,9220,150,automatic,gasoline,29850
Volkswagen,Tiguan,2020,10,150,automatic,diesel,42990
Volkswagen,Caddy,2021,11541,75,manual,diesel,26970
Volkswagen,T-Roc,2022,3808,150,automatic,gasoline,35550
Volkswagen,Polo,2022,50,95,manual,gasoline,22979
Volkswagen,Polo,2020,31736,200,automatic,gasoline,23270
Volkswagen,Polo,2018,41013,69,manual,gasoline,14688
Volkswagen,Arteon,2021,33250,200,automatic,diesel,49110
Volkswagen,T6 Caravelle,2021,26500,204,automatic,diesel,56880
Volkswagen,T-Cross,2021,30,95,manual,gasoline,24950
Volkswagen,Golf Variant,2019,114679,116,automatic,diesel,16190
Volkswagen,Golf,2021,14820,245,automatic,gasoline,34380
Volkswagen,Polo,2021,14450,207,automatic,gasoline,27680
Volkswagen,T-Roc,2020,5669,150,automatic,gasoline,32850
Volkswagen,T-Roc,2020,0,150,automatic,diesel,46890
Volkswagen,T-Cross,2022,22280,110,automatic,gasoline,24680
Volkswagen,Polo,2018,38700,75,manual,gasoline,13000
